Proceeding Number,Name of Filer,Date Received,Type of Filing,Documents,,,,,,,,,,,,,,,,,,
12-25,Wireless Telecommunications Bureau/ NTIA,03/21/2012,NOTICE OF EXPARTE,  (1 page),  (9 pages),,,,,,,,,,,,,,,,,
11-109,NTIA,09/13/2011,LETTER,  (4 pages),,,,,,,,,,,,,,,,,,
06-150,U.S. Department of Commerce NTIA,11/25/2008,COMMENT,View (8 pages),,,,,,,,,,,,,,,,,,
04-257,NTIA,11/18/2004,INTENT TO PARITICIPATE IN ORAL ARGUMENT,REPLY TO COMMENTS (3 pages),,,,,,,,,,,,,,,,,,
04-257,NTIA,11/08/2004,REPLY TO COMMENTS,REPLY TO COMMENTS (5 pages),,,,,,,,,,,,,,,,,,
04-257,NTIA,10/12/2004,COMMENT,COMMENT (7 pages),,,,,,,,,,,,,,,,,,
00-48,NTIA,07/14/2004,REPLY TO COMMENTS,REPLY TO COMMENTS (3 pages),,,,,,,,,,,,,,,,,,
00-48,NTIA,06/15/2004,COMMENT,COMMENT (8 pages),,,,,,,,,,,,,,,,,,
02-305,NTIA,06/10/1998,LETTER,View (50 pages),View (51 pages),View (24 pages),,,,,,,,,,,,,,,,
02-305,NTIA,07/18/2001,LETTER,View (27 pages),,,,,,,,,,,,,,,,,,
02-305,NTIA,04/06/2001,LETTER,View (5 pages),,,,,,,,,,,,,,,,,,
01-278,NTIA,03/15/2002,NOTICE OF EXPARTE,View (4 pages),,,,,,,,,,,,,,,,,,
98-153,NTIA,02/22/2002,NOTICE OF EXPARTE,View (28 pages),,,,,,,,,,,,,,,,,,
00-19,NTIA,11/30/2001,NOTICE OF PRE-HEARING CONFERENCE,View (2 pages),,,,,,,,,,,,,,,,,,
00-32,NTIA,10/19/2001,NOTICE OF PRE-HEARING CONFERENCE,View (9 pages),,,,,,,,,,,,,,,,,,
97-95,NTIA,09/20/2001,NOTICE OF PRE-HEARING CONFERENCE,View (3 pages),,,,,,,,,,,,,,,,,,
01-75,NTIA,08/07/2001,NOTICE OF PRE-HEARING CONFERENCE,View (6 pages),,,,,,,,,,,,,,,,,,
00-47,NTIA,05/25/2001,NOTICE OF PRE-HEARING CONFERENCE,View (18 pages),,,,,,,,,,,,,,,,,,
00-32,"Office of Spectrum Management, NTIA",03/22/2001,NOTICE OF PRE-HEARING CONFERENCE,View (5 pages),,,,,,,,,,,,,,,,,,
98-237,"Office of Spectrum Management, NTIA",03/22/2001,NOTICE OF PRE-HEARING CONFERENCE,View (5 pages),,,,,,,,,,,,,,,,,,
98-237,NTIA,03/22/2001,LETTER,View (5 pages),,,,,,,,,,,,,,,,,,
00-32,NTIA,03/22/2001,LETTER,View (5 pages),,,,,,,,,,,,,,,,,,
98-153,NTIA,01/18/2001,LETTER,View (14 pages),View (28 pages),View (30 pages),View (37 pages),View (34 pages),View (34 pages),View (27 pages),View (15 pages),View (29 pages),View (23 pages),View (26 pages),View (30 pages),View (28 pages),View (24 pages),View (23 pages),View (41 pages),View (18 pages),View (26 pages),View (27 pages)
00-221,NTIA,11/15/2000,NOTICE OF PRE-HEARING CONFERENCE,View (1 page),,,,,,,,,,,,,,,,,,
98-153,NTIA,10/30/2000,NOTICE OF PRE-HEARING CONFERENCE,View (4 pages),,,,,,,,,,,,,,,,,,
98-237,NTIA,09/19/2000,NOTICE OF PRE-HEARING CONFERENCE,View (4 pages),,,,,,,,,,,,,,,,,,
98-172,NTIA,06/27/2000,NOTICE OF INTENT TO PARTICIPATE IN ORAL ARGUMENT,View (3 pages),,,,,,,,,,,,,,,,,,
96-45,NTIA,04/14/2000,NOTICE OF PRE-HEARING CONFERENCE,View (29 pages),,,,,,,,,,,,,,,,,,
99-261,NTIA,02/09/2000,LETTER,View (2 pages),,,,,,,,,,,,,,,,,,
99-168,NTIA,02/02/2000,NOTICE OF PRE-HEARING CONFERENCE,View (2 pages),,,,,,,,,,,,,,,,,,
99-168,NTIA,01/06/2000,NOTICE OF INTENT TO TAKE DEPOSITION,View (11 pages),,,,,,,,,,,,,,,,,,
99-266,NTIA,12/09/1999,REPLY TO COMMENTS,View (10 pages),,,,,,,,,,,,,,,,,,
98-96,NTIA,10/25/1999,COMMENT,View (4 pages),,,,,,,,,,,,,,,,,,
99-255,NTIA,10/18/1999,REPLY TO COMMENTS,View (3 pages),,,,,,,,,,,,,,,,,,
94-102,NTIA,09/13/1999,NOTICE OF INTENT TO TAKE DEPOSITION,View (4 pages),,,,,,,,,,,,,,,,,,
98-96,NTIA,08/16/1999,COMMENT,View (1 page),,,,,,,,,,,,,,,,,,
95-185,NTIA,08/02/1999,NOTICE OF PRE-HEARING CONFERENCE,View (28 pages),View (30 pages),,,,,,,,,,,,,,,,,
96-98,NTIA,08/02/1999,NOTICE OF PRE-HEARING CONFERENCE,View (28 pages),View (30 pages),,,,,,,,,,,,,,,,,
99-81,NTIA,07/26/1999,REPLY TO COMMENTS,View (14 pages),,,,,,,,,,,,,,,,,,
96-45,NTIA,07/22/1999,COMMENT,View (2 pages),,,,,,,,,,,,,,,,,,
99-255,NTIA,07/19/1999,COMMENT,View (5 pages),,,,,,,,,,,,,,,,,,
RM-9165,NTIA,07/21/1999,REPLY TO COMMENTS,View (1 page),,,,,,,,,,,,,,,,,,
99-67,NTIA,07/21/1999,REPLY TO COMMENTS,View (16 pages),,,,,,,,,,,,,,,,,,
99-81,NTIA,06/24/1999,COMMENT,View (34 pages),,,,,,,,,,,,,,,,,,
RM-9165,NTIA,06/21/1999,COMMENT,View (1 page),,,,,,,,,,,,,,,,,,
99-67,NTIA,06/21/1999,COMMENT,View (49 pages),,,,,,,,,,,,,,,,,,
99-168,NTIA,06/10/1999,NOTICE OF PRE-HEARING CONFERENCE,View (3 pages),,,,,,,,,,,,,,,,,,
98-147,NTIA,05/07/1999,NOTICE OF PRE-HEARING CONFERENCE,View (5 pages),,,,,,,,,,,,,,,,,,
98-147,NTIA,05/07/1999,NOTICE OF PRE-HEARING CONFERENCE,View (1 page),,,,,,,,,,,,,,,,,,
98-206,NTIA,02/16/1999,NOTICE OF PRE-HEARING CONFERENCE,View (3 pages),,,,,,,,,,,,,,,,,,
98-35,NTIA,02/12/1999,NOTICE OF INTENT TO TAKE DEPOSITION,View (15 pages),,,,,,,,,,,,,,,,,,
98-201,NTIA,02/02/1999,NOTICE OF PRE-HEARING CONFERENCE,View (53 pages),,,,,,,,,,,,,,,,,,
96-86,NTIA,01/19/1999,COMMENT,View (26 pages),,,,,,,,,,,,,,,,,,
98-165,NTIA,12/04/1998,NOTICE OF PRE-HEARING CONFERENCE,View (4 pages),,,,,,,,,,,,,,,,,,
98-161,NTIA,12/04/1998,NOTICE OF PRE-HEARING CONFERENCE,View (4 pages),,,,,,,,,,,,,,,,,,
98-103,NTIA,12/04/1998,NOTICE OF INTENT TO TAKE DEPOSITION,View (4 pages),,,,,,,,,,,,,,,,,,
98-79,NTIA,12/04/1998,NOTICE OF PRE-HEARING CONFERENCE,View (4 pages),,,,,,,,,,,,,,,,,,
98-206,NTIA,11/25/1998,NOTICE OF PRE-HEARING CONFERENCE,View (3 pages),,,,,,,,,,,,,,,,,,
95-18,NTIA,11/18/1998,NOTICE OF INTENT TO PARTICIPATE IN ORAL ARGUMENT,View (47 pages),,,,,,,,,,,,,,,,,,
98-95,NTIA,10/29/1998,LETTER,View (4 pages),,,,,,,,,,,,,,,,,,
98-103,NTIA,10/27/1998,NOTICE OF INTENT TO TAKE DEPOSITION,View (7 pages),,,,,,,,,,,,,,,,,,
98-79,NTIA,10/27/1998,NOTICE OF INTENT TO TAKE DEPOSITION,View (7 pages),,,,,,,,,,,,,,,,,,
98-165,NTIA,10/27/1998,NOTICE OF INTENT TO TAKE DEPOSITION,View (7 pages),,,,,,,,,,,,,,,,,,
98-161,NTIA,10/27/1998,NOTICE OF INTENT TO TAKE DEPOSITION,View (7 pages),,,,,,,,,,,,,,,,,,
98-42,NTIA,09/24/1998,NOTICE OF PRE-HEARING CONFERENCE,Pages 1 to 2 (2 pages),,,,,,,,,,,,,,,,,,
98-42,NTIA,09/24/1998,NOTICE OF PRE-HEARING CONFERENCE,Pages 1 to 2 (2 pages),,,,,,,,,,,,,,,,,,
97-95,NTIA,09/24/1998,LETTER,Pages 1 to 4 (4 pages),,,,,,,,,,,,,,,,,,
98-136,NTIA,09/24/1998,LETTER,Pages 1 to 4 (4 pages),,,,,,,,,,,,,,,,,,
94-124,NTIA,09/24/1998,COMMENT,Pages 1 to 5 (5 pages),,,,,,,,,,,,,,,,,,
97-95,NTIA,09/18/1998,LETTER,Pages 1 to 2 (2 pages),,,,,,,,,,,,,,,,,,
RM-9335,NTIA,09/04/1998,LETTER,Pages 1 to 25 (25 pages),Pages 26 to 50 (25 pages),Pages 51 to 75 (25 pages),Pages 76 to 100 (25 pages),Pages 101 to 103 (3 pages),,,,,,,,,,,,,,
97-95,NTIA,08/27/1998,NOTICE OF PRE-HEARING CONFERENCE,Pages 1 to 3 (3 pages),,,,,,,,,,,,,,,,,,
98-96,NTIA,08/24/1998,COMMENT,Pages 1 to 4 (4 pages),,,,,,,,,,,,,,,,,,
98-68,NTIA,07/27/1998,COMMENT,Pages 1 to 3 (3 pages),,,,,,,,,,,,,,,,,,
96-86,NTIA,07/22/1998,NOTICE OF PRE-HEARING CONFERENCE,Pages 1 to 3 (3 pages),,,,,,,,,,,,,,,,,,
98-26,NTIA,07/17/1998,NOTICE OF PRE-HEARING CONFERENCE,Pages 1 to 20 (20 pages),,,,,,,,,,,,,,,,,,
98-11,NTIA,07/17/1998,NOTICE OF PRE-HEARING CONFERENCE,Pages 1 to 20 (20 pages),,,,,,,,,,,,,,,,,,
98-32,NTIA,07/17/1998,NOTICE OF PRE-HEARING CONFERENCE,Pages 1 to 20 (20 pages),,,,,,,,,,,,,,,,,,
98-91,NTIA,07/17/1998,NOTICE OF PRE-HEARING CONFERENCE,Pages 1 to 20 (20 pages),,,,,,,,,,,,,,,,,,
RM-9267,NTIA,06/05/1998,NOTICE OF PRE-HEARING CONFERENCE,Pages 1 to 18 (18 pages),,,,,,,,,,,,,,,,,,
96-262,NTIA,05/15/1998,NOTICE OF PRE-HEARING CONFERENCE,Pages 1 to 3 (3 pages),,,,,,,,,,,,,,,,,,
RM-9267,NTIA,06/05/1998,COMMENT,Pages 1 to 19 (19 pages),,,,,,,,,,,,,,,,,,
RM-9147,NTIA,06/03/1998,OTHER,Pages 1 to 4 (4 pages),,,,,,,,,,,,,,,,,,
96-86,NTIA,05/20/1998,NOTICE OF PRE-HEARING CONFERENCE,Pages 1 to 4 (4 pages),,,,,,,,,,,,,,,,,,
96-45,NTIA,05/15/1998,COMMENT,Pages 1 to 3 (3 pages),,,,,,,,,,,,,,,,,,
96-86,NTIA,12/24/1997,COMMENT,Pages 1 to 15 (15 pages),,,,,,,,,,,,,,,,,,
97-142,NTIA,11/05/1997,COMMENT,Pages 1 to 11 (11 pages),,,,,,,,,,,,,,,,,,
97-95,NTIA,09/22/1997,LETTER,Pages 1 to 1 (1 page),,,,,,,,,,,,,,,,,,
RM-9165,NTIA,09/19/1997,LETTER,Pages 1 to 3 (3 pages),,,,,,,,,,,,,,,,,,
97-157,NTIA,09/15/1997,COMMENT,Pages 1 to 7 (7 pages),,,,,,,,,,,,,,,,,,
98-56,NTIA,08/13/1997,COMMENT,Pages 1 to 5 (5 pages),,,,,,,,,,,,,,,,,,
96-45,NTIA,08/05/1997,COMMENT,Pages 1 to 2 (2 pages),,,,,,,,,,,,,,,,,,
95-183,NTIA,06/09/1997,NOTICE OF PRE-HEARING CONFERENCE,Pages 1 to 2 (2 pages),,,,,,,,,,,,,,,,,,
94-124,NTIA,06/09/1997,NOTICE OF PRE-HEARING CONFERENCE,Pages 1 to 2 (2 pages),,,,,,,,,,,,,,,,,,
96-220,NTIA,05/30/1997,NOTICE OF PRE-HEARING CONFERENCE,Pages 1 to 3 (3 pages),,,,,,,,,,,,,,,,,,
96-220,NTIA,05/27/1997,LETTER,Pages 1 to 2 (2 pages),,,,,,,,,,,,,,,,,,
96-220,NTIA,05/27/1997,LETTER,Pages 1 to 3 (3 pages),,,,,,,,,,,,,,,,,,
94-150,NTIA,05/22/1997,COMMENT,Pages 1 to 11 (11 pages),,,,,,,,,,,,,,,,,,
91-221,NTIA,05/22/1997,COMMENT,Pages 1 to 11 (11 pages),,,,,,,,,,,,,,,,,,
96-102,NTIA,05/09/1997,COMMENT,Pages 1 to 25 (25 pages),Pages 26 to 33 (8 pages),,,,,,,,,,,,,,,,,
97-95,NTIA,05/07/1997,LETTER,Pages 1 to 6 (6 pages),,,,,,,,,,,,,,,,,,
96-45,NTIA,04/24/1997,NOTICE OF PRE-HEARING CONFERENCE,Pages 1 to 4 (4 pages),,,,,,,,,,,,,,,,,,
96-262,NTIA,04/24/1997,COMMENT,Pages 1 to 12 (12 pages),,,,,,,,,,,,,,,,,,
96-45,NTIA,04/25/1997,NOTICE OF PRE-HEARING CONFERENCE,Pages 1 to 9 (9 pages),,,,,,,,,,,,,,,,,,
96-115,NTIA,04/14/1997,NOTICE OF PRE-HEARING CONFERENCE,Pages 1 to 25 (25 pages),Pages 26 to 42 (17 pages),,,,,,,,,,,,,,,,,
96-261,NTIA,03/31/1997,REPLY TO COMMENTS,Pages 1 to 23 (23 pages),,,,,,,,,,,,,,,,,,
96-115,NTIA,03/27/1997,REPLY TO COMMENTS,Pages 1 to 25 (25 pages),Pages 26 to 49 (24 pages),,,,,,,,,,,,,,,,,
87-268,NTIA,02/21/1997,NOTICE OF PRE-HEARING CONFERENCE,Pages 1 to 12 (12 pages),,,,,,,,,,,,,,,,,,
96-45,NTIA,01/10/1997,REPLY TO COMMENTS,Pages 1 to 25 (25 pages),Pages 26 to 41 (16 pages),,,,,,,,,,,,,,,,,
96-45,NTIA,12/19/1996,COMMENT,Pages 1 to 8 (8 pages),,,,,,,,,,,,,,,,,,
96-45,NTIA,10/22/1996,NOTICE OF PRE-HEARING CONFERENCE,Pages 1 to 25 (25 pages),Pages 26 to 50 (25 pages),Pages 51 to 75 (25 pages),Pages 76 to 100 (25 pages),Pages 101 to 125 (25 pages),Pages 126 to 140 (15 pages),,,,,,,,,,,,,
96-45,NTIA,10/03/1996,NOTICE OF PRE-HEARING CONFERENCE,Pages 1 to 1 (1 page),,,,,,,,,,,,,,,,,,
96-45,NTIA,10/03/1996,NOTICE OF PRE-HEARING CONFERENCE,Pages 1 to 1 (1 page),,,,,,,,,,,,,,,,,,
96-45,NTIA,10/03/1996,NOTICE OF PRE-HEARING CONFERENCE,Pages 1 to 1 (1 page),,,,,,,,,,,,,,,,,,
96-45,NTIA,10/03/1996,NOTICE OF PRE-HEARING CONFERENCE,Pages 1 to 1 (1 page),,,,,,,,,,,,,,,,,,
96-45,NTIA,10/03/1996,NOTICE OF PRE-HEARING CONFERENCE,Pages 1 to 1 (1 page),,,,,,,,,,,,,,,,,,
96-45,NTIA,10/03/1996,NOTICE OF PRE-HEARING CONFERENCE,Pages 1 to 1 (1 page),,,,,,,,,,,,,,,,,,
92-297,NTIA,09/27/1996,NOTICE OF PRE-HEARING CONFERENCE,Pages 1 to 25 (25 pages),Pages 26 to 50 (25 pages),Pages 51 to 75 (25 pages),Pages 76 to 100 (25 pages),Pages 101 to 125 (25 pages),Pages 126 to 150 (25 pages),Pages 151 to 175 (25 pages),Pages 176 to 200 (25 pages),Pages 201 to 225 (25 pages),Pages 226 to 236 (11 pages),,,,,,,,,
96-111,NTIA,09/24/1996,COMMENT,Pages 1 to 3 (3 pages),,,,,,,,,,,,,,,,,,
96-45,NTIA,09/19/1996,NOTICE OF PRE-HEARING CONFERENCE,Pages 1 to 1 (1 page),,,,,,,,,,,,,,,,,,
96-98,NTIA,09/06/1996,NOTICE OF PRE-HEARING CONFERENCE,Pages 1 to 3 (3 pages),,,,,,,,,,,,,,,,,,
94-124,NTIA,09/04/1996,LETTER,Pages 1 to 2 (2 pages),,,,,,,,,,,,,,,,,,
96-102,NTIA,08/16/1996,"ERRATA, ERRATUM OR ADDENDUM",Pages 1 to 25 (25 pages),Pages 26 to 42 (17 pages),,,,,,,,,,,,,,,,,
96-102,NTIA,08/14/1996,REPLY TO COMMENTS,Pages 1 to 25 (25 pages),Pages 26 to 42 (17 pages),,,,,,,,,,,,,,,,,
87-268,NTIA,08/09/1996,COMMENT,Pages 1 to 2 (2 pages),,,,,,,,,,,,,,,,,,
96-56,NTIA,07/30/1996,NOTICE OF PRE-HEARING CONFERENCE,Pages 1 to 4 (4 pages),,,,,,,,,,,,,,,,,,
96-98,NTIA,07/29/1996,NOTICE OF PRE-HEARING CONFERENCE,Pages 1 to 4 (4 pages),,,,,,,,,,,,,,,,,,
87-268,NTIA,07/11/1996,COMMENT,Pages 1 to 3 (3 pages),,,,,,,,,,,,,,,,,,
96-45,NTIA,06/14/1996,"ERRATA, ERRATUM OR ADDENDUM",Pages 1 to 25 (25 pages),Pages 26 to 50 (25 pages),Pages 51 to 59 (9 pages),,,,,,,,,,,,,,,,
96-45,NTIA,06/12/1996,REPLY TO COMMENTS,Pages 1 to 25 (25 pages),Pages 26 to 50 (25 pages),Pages 51 to 58 (8 pages),,,,,,,,,,,,,,,,
96-98,NTIA,05/30/1996,REPLY TO COMMENTS,Pages 1 to 25 (25 pages),Pages 26 to 48 (23 pages),,,,,,,,,,,,,,,,,
93-48,NTIA,04/18/1996,NOTICE OF PRE-HEARING CONFERENCE,Pages 1 to 25 (25 pages),Pages 26 to 28 (3 pages),,,,,,,,,,,,,,,,,
93-253,NTIA,04/15/1996,COMMENT,Pages 1 to 25 (25 pages),Pages 26 to 49 (24 pages),,,,,,,,,,,,,,,,,
95-115,NTIA,03/29/1996,REPLY TO COMMENTS,Pages 1 to 25 (25 pages),Pages 26 to 50 (25 pages),Pages 51 to 75 (25 pages),Pages 76 to 78 (3 pages),,,,,,,,,,,,,,,
95-168,NTIA,12/12/1995,COMMENT,Pages 1 to 6 (6 pages),,,,,,,,,,,,,,,,,,
93-253,NTIA,12/12/1995,COMMENT,Pages 1 to 6 (6 pages),,,,,,,,,,,,,,,,,,
93-144,NTIA,12/01/1995,OTHER,Pages 1 to 25 (25 pages),Pages 26 to 34 (9 pages),,,,,,,,,,,,,,,,,
95-21,NTIA,10/25/1995,NOTICE OF PRE-HEARING CONFERENCE,Pages 1 to 1 (1 page),,,,,,,,,,,,,,,,,,
95-21,NTIA,10/20/1995,NOTICE OF PRE-HEARING CONFERENCE,Pages 1 to 5 (5 pages),,,,,,,,,,,,,,,,,,
94-123,NTIA,07/20/1995,COMMENT,Pages 1 to 25 (25 pages),Pages 26 to 50 (25 pages),,,,,,,,,,,,,,,,,
95-22,NTIA,05/12/1995,REPLY TO COMMENTS,Pages 1 to 18 (18 pages),,,,,,,,,,,,,,,,,,
95-22,NTIA,04/11/1995,COMMENT,Pages 1 to 25 (25 pages),Pages 26 to 26 (1 page),,,,,,,,,,,,,,,,,
94-124,NTIA,02/08/1995,COMMENT,Pages 1 to 5 (5 pages),,,,,,,,,,,,,,,,,,
93-61,NTIA,12/12/1994,NOTICE OF PRE-HEARING CONFERENCE,Pages 1 to 4 (4 pages),,,,,,,,,,,,,,,,,,
94-124,NTIA,12/12/1994,LETTER,Pages 1 to 4 (4 pages),,,,,,,,,,,,,,,,,,
94-32,NTIA,12/12/1994,LETTER,Pages 1 to 4 (4 pages),,,,,,,,,,,,,,,,,,
92-100,NTIA,06/21/1994,NOTICE OF PRE-HEARING CONFERENCE,Pages 1 to 3 (3 pages),,,,,,,,,,,,,,,,,,
90-314,NTIA,06/21/1994,NOTICE OF PRE-HEARING CONFERENCE,Pages 1 to 3 (3 pages),,,,,,,,,,,,,,,,,,
90-314,NTIA,06/02/1994,NOTICE OF PRE-HEARING CONFERENCE,Pages 1 to 16 (16 pages),,,,,,,,,,,,,,,,,,
92-100,NTIA,06/02/1994,NOTICE OF PRE-HEARING CONFERENCE,Pages 1 to 16 (16 pages),,,,,,,,,,,,,,,,,,
90-314,NTIA,05/31/1994,NOTICE OF PRE-HEARING CONFERENCE,Pages 1 to 16 (16 pages),,,,,,,,,,,,,,,,,,
92-100,NTIA,05/31/1994,NOTICE OF PRE-HEARING CONFERENCE,Pages 1 to 16 (16 pages),,,,,,,,,,,,,,,,,,
92-28,NTIA,01/21/1994,LETTER,Pages 1 to 4 (4 pages),,,,,,,,,,,,,,,,,,
93-59,NTIA,06/14/1993,OTHER,Pages 1 to 5 (5 pages),,,,,,,,,,,,,,,,,,
93-59,NTIA,01/17/1992,LETTER,Pages 1 to 25 (25 pages),Pages 26 to 50 (25 pages),Pages 51 to 75 (25 pages),Pages 76 to 100 (25 pages),Pages 101 to 125 (25 pages),Pages 126 to 126 (1 page),,,,,,,,,,,,,
